name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through
"RIGGER, DARREN J",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2006},"{2006,2008}",P,C,Challenger,2009-04-29 00:00:00,2005-10-26,2005-10-26,2005-10-26,H6NY19136,2006
"EVERETT, EMIL KRATZER",H,House,REP,REPUBLICAN PARTY,NY,32,32,{32},{1988},{1988},C,C,Challenger,2005-05-26 00:00:00,1988-08-31,1988-08-31,1988-08-31,H8NY32036,1988
"SWARTS, DAVID J",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{1988},"{1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1988-05-05,1988-06-06,1988-06-06,H8NY31046,1988
"LEE, CHRISTOPHER J.",H,House,REP,REPUBLICAN PARTY,NY,26,26,"{26,26,26}","{2008,2010,2012}","{2008,2010,2012}",C,C,Challenger,2011-06-28 22:49:27,2008-05-12,2011-05-20,2009-07-20,H8NY26095,2012
"FORD, BARRY DWAYNE",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,"{10,10}","{1998,2000}","{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-02-10,1999-05-10,1999-05-10,H8NY10040,2000
"WALKER, CHARLES A",H,House,REP,REPUBLICAN PARTY,NY,33,33,{33},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-09-09,1986-09-09,1986-09-09,H6NY33095,1986
"OCASIO-CORTEZ, ALEXANDRIA",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,{14},{2018},{2018},C,C,Challenger,2017-09-15 21:00:12,2017-05-10,2017-07-17,2017-07-17,H8NY15148,2018
"GRECHEN SHIRLEY, LIUBOV",H,House,DEM,DEMOCRATIC PARTY,NY,02,2,{02},{2018},{2018},C,C,Challenger,2018-01-30 21:08:53,2018-01-22,2018-01-24,2018-01-24,H8NY02104,2018
"BROOKS, JEFFREY SIMS",H,House,DEM,DEMOCRATIC PARTY,NY,32,32,{32},{1980},"{1980,1982,1984,1986,1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1980-06-19,1980-06-19,1980-06-19,H0NY32033,1980
"BUNNY, SEAN",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-18,2017-10-18,2017-10-18,H8NY27135,2018
"DELLIBOVI, ALFRED A.",H,House,REP,REPUBLICAN PARTY,NY,09,9,{09},{1978},"{1978,1980}",P,C,Challenger,2002-03-30 00:00:00,1978-04-19,1978-04-19,1978-04-19,H8NY09018,1978
"RUSSELL, JIM",H,House,REP,REPUBLICAN PARTY,NY,17,17,"{18,18,18,17}","{2006,2008,2010,2012}","{2006,2008,2010,2012}",N,C,Challenger,2012-05-22 21:53:21,2006-09-02,2006-09-19,2006-09-02,H6NY18153,2012
"BAKAL, PETER M",H,House,REP,REPUBLICAN PARTY,NY,23,23,{23},{1988},"{1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1988-04-28,1988-04-28,1988-04-28,H8NY23076,1988
"MARCHISELLI, VINCENT A",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-06-13,1988-09-12,1988-09-12,H8NY19041,1988
"PATEL, SURAJ",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-24,2017-10-24,2017-10-24,H8NY12129,2018
"BOWMAN, STEPHEN SARSFIELD",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{1988},"{1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1988-02-01,1988-02-01,1988-02-01,H8NY27028,1988
"DEAR, NOACH",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,"{09,09}","{1998,2000}","{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1997-07-30,1999-12-21,1999-12-21,H8NY09109,2000
"MONTANO, ARMANDO",H,House,IND,INDEPENDENT,NY,21,21,{21},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-01-30,1978-01-30,1978-01-30,H8NY21021,1978
"LAYMAN, BRUCE E",H,House,REP,REPUBLICAN PARTY,NY,22,22,{22},{2008},"{2008,2010,2012,2014}",P,C,Challenger,2009-04-03 21:41:21,2007-11-14,2007-11-19,2007-11-19,H8NY22110,2008
"BROWNING, KATE M.",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-12,2018-01-19,2018-01-19,H8NY01197,2018
"WEPPNER, KATHLEEN",H,House,REP,REPUBLICAN PARTY,NY,26,26,{26},{2014},"{2014,2016}",P,C,Challenger,2015-04-02 15:52:44,2014-03-24,2014-03-24,2014-03-24,H4NY26052,2014
"BUNKEDDEKO, ADEM",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,{09},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-04,2017-10-04,2017-10-04,H8NY09158,2018
"MARGE, MICHAEL",H,House,REP,REPUBLICAN PARTY,NY,27,27,{27},{1988},{1988},C,O,Open seat,2005-05-26 00:00:00,1988-04-11,1988-04-11,1988-04-11,H8NY27044,1988
"MAHER, PATRICIA M",H,House,DEM,DEMOCRATIC PARTY,NY,02,2,"{04,05,02}","{1998,2010,2014}","{1998,2000,2010,2012,2014,2016}",P,C,Challenger,2015-04-02 15:52:44,1997-11-03,2014-04-29,2014-04-29,H8NY04050,2014
"ZELDIN, LEE M",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01,01,01,01}","{2008,2010,2014,2016,2018}","{2008,2010,2014,2016,2018}",C,I,Incumbent,2017-10-13 20:57:59,2007-10-09,2017-10-13,2017-10-13,H8NY01148,2018
"COLLINS, DICK",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-08-10,1998-08-10,1998-08-10,H8NY19116,1998
"WILSON, KATIE",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,{21},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-07-06,2017-07-06,2017-07-06,H8NY21252,2018
"BRODSKY, RICHARD L.",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{1978},"{1978,1980}",P,C,Challenger,2002-03-30 00:00:00,1978-08-14,1978-08-14,1978-08-14,H8NY23043,1978
"FERRARO, GERALDINE A",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,"{09,09,09}","{1978,1980,1982}","{1978,1980,1982,1984,1986}",P,C,Challenger,2002-03-30 00:00:00,1978-05-22,1982-08-31,1982-08-31,H8NY09034,1982
"MEHIEL, DENNIS",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{20,19}","{1988,1994}","{1988,1990,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1987-12-17,1994-04-11,1994-04-11,H8NY20049,1994
"SHROEDER, HAROLD W",H,House,CON,CONSTITUTION PARTY,NY,27,27,{27},{2008},"{2008,2010,2012}",N,C,Challenger,2008-08-05 21:49:05,2008-06-30,2008-06-30,2008-06-30,H8NY27101,2008
"FOSSELLA, VITO",H,House,REP,REPUBLICAN PARTY,NY,13,13,"{13,13,13,13,13,13}","{1998,2000,2002,2004,2006,2008}","{1998,2000,2002,2004,2006,2008,2010,2012,2014}",P,C,Challenger,2007-12-12 21:44:16,1997-06-18,2007-06-04,2007-06-04,H8NY13028,2008
"O'DONOVAN, JEROME X",H,House,DEM,DEMOCRATIC PARTY,NY,14,14,{14},{1988},"{1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1988-02-22,1988-04-06,1988-04-06,H8NY14083,1988
"KLAR, STEVEN A.",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-07-03,1978-07-03,1978-07-03,H8NY01064,1978
"POLITO, BILL",H,House,REP,REPUBLICAN PARTY,NY,28,28,"{28,28}","{1992,1994}","{1992,1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1992-06-12,1994-06-01,1994-06-01,H2NY28086,1994
"MCFARLAND, KATHLEEN TROIA",H,House,REP,REPUBLICAN PARTY,NY,01,1,"{01,01}","{2006,2008}","{2006,2008,2010,2012}",P,C,Challenger,2009-04-29 22:11:29,2005-10-04,2010-08-19,2006-12-06,H6NY14228,2008
"MILLER, CELESTINE V",H,House,REP,REPUBLICAN PARTY,NY,6,6,"{06,6}","{1998,1999}","{1998,2000,2002}",N,C,Challenger,2002-06-18 00:00:00,1998-02-09,1998-02-09,1998-02-09,H8NY06089,1999
"SPAMPINATO, FRANCIS CESIDIO",H,House,REP,REPUBLICAN PARTY,NY,18,18,{18},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-10-29,2015-10-29,2015-10-29,H6NY18187,2016
"MANTON, THOMAS JOSEPH",H,House,DEM,DEMOCRATIC PARTY,NY,07,7,"{09,09,09,09,09,07,07,07,07}","{1978,1984,1986,1988,1990,1992,1994,1996,1998}","{1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008}",P,C,Challenger,2002-04-12 00:00:00,1978-06-23,1997-04-14,1997-04-14,H8NY09059,1998
"RYAN, PATRICK",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,{19},{2018},{2018},C,C,Challenger,2018-03-16 21:07:37,2017-06-06,2018-03-16,2018-03-16,H8NY19223,2018
"MORANO, CARMINE",H,House,IND,INDEPENDENT,NY,13,13,{13},{2008},"{2008,2010}",N,C,Challenger,2009-03-03 00:00:00,2008-11-04,2009-03-03,2009-03-03,H8NY13101,2008
"ENGEL, ELIOT L.",H,House,DEM,DEMOCRATIC PARTY,NY,16,16,"{19,19,17,17,17,17,17,17,17,17,17,17,16,16,16,16}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}","{1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",C,I,Incumbent,2017-05-13 21:04:51,1988-06-20,2017-05-12,2017-05-12,H8NY19058,2018
"WHELAN, ROBERT P",H,House,REP,REPUBLICAN PARTY,NY,15,15,{15},{1978},"{1978,1980,1982,1984,1986,1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1978-09-01,1978-09-01,1978-09-01,H8NY15056,1978
"VAID, OMAR M",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2018-01-11 21:08:23,2017-06-16,2018-01-11,2018-01-11,H8NY11105,2018
"DELGIORNO, PETER J",H,House,REP,REPUBLICAN PARTY,NY,27,27,"{32,32,27}","{1978,1980,1982}","{1978,1980,1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,1978-06-05,1982-08-16,1982-08-16,H8NY32010,1982
"LEWANDOWSKI, DAVID",H,House,REP,REPUBLICAN PARTY,NY,33,33,{33},{1984},{1984},N,,,2002-03-30 00:00:00,1984-10-15,1984-10-15,1984-10-15,H4NY33017,1984
"STOKES, THOMAS",H,House,LIB,LIBERTARIAN PARTY,NY,17,17,"{17,17}","{1978,1980}","{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1977-12-27,1978-12-05,1978-12-05,H8NY17011,1980
"WRIGHT, KEITH L T",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,{13},{2016},"{2016,2018}",P,O,Open seat,2017-02-23 14:47:46,2015-06-15,2015-06-15,2015-06-15,H6NY13105,2016
"SCHECK, RICHARD HERBERT",H,House,IND,INDEPENDENT,NY,06,6,{06},{1978},"{1978,1980}",P,,,2002-03-30 00:00:00,1978-05-04,1978-05-04,1978-05-04,H8NY06014,1978
"KUPFERMAN, STEPHANIE E",H,House,REP,REPUBLICAN PARTY,NY,14,14,{14},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-08-17,1998-08-17,1998-08-17,H8NY14109,1998
"OZOLS, GUNARS M",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,"{25,25}","{1978,1980}","{1978,1980,1982}",P,,,2002-03-30 00:00:00,1978-09-08,1980-09-01,1980-09-01,H8NY25022,1980
"FISH, HAMILTON JR",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{20,19}","{1988,1994}","{1988,1990,1992,1994,1996,1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1988-01-20,1994-05-13,1994-05-13,H8NY20064,1994
"ROBERTS, LAUREN AYERS",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-06-30,1998-06-30,1998-06-30,H8NY21120,1998
"ANDREI, LINDA",H,House,DEM,DEMOCRATIC PARTY,NY,23,23,{23},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-12-17,2017-12-17,2017-12-17,H8NY23225,2018
"MALAVE-DILAN, MARTIN",H,House,DEM,DEMOCRATIC PARTY,NY,12,12,{12},{1998},"{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-02-25,1998-02-25,1998-02-25,H8NY12061,1998
"HANNA, RICHARD L.",H,House,REP,REPUBLICAN PARTY,NY,22,22,"{24,24,22,22,22}","{2008,2010,2012,2014,2016}","{2008,2010,2012,2014,2016,2018}",P,I,Incumbent,2017-02-23 14:47:46,2008-05-23,2015-02-26,2015-02-26,H8NY24066,2016
"DIAMONDSTONE, KEN",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,{10},{1998},"{1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1998-06-15,1998-06-15,1998-06-15,H8NY10057,1998
"LEVINE, JONATHAN L",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,{20},{1992},"{1992,1994,1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1992-08-28,1992-08-28,1992-08-28,H2NY20059,1992
"BERNEY, ELIZABETH",H,House,REP,REPUBLICAN PARTY,NY,05,5,"{05,05}","{2008,2010}","{2008,2010,2012,2014}",P,C,Challenger,2011-02-24 10:53:12,2008-07-18,2010-02-17,2010-02-17,H8NY05099,2010
"TENNEY, CLAUDIA",H,House,REP,REPUBLICAN PARTY,NY,22,22,"{22,22,22}","{2014,2016,2018}","{2014,2016,2018}",C,I,Incumbent,2017-05-05 21:04:59,2014-03-25,2017-02-13,2017-02-13,H4NY22051,2018
"NACHBAR, DAVID",H,House,DEM,DEMOCRATIC PARTY,NY,29,29,{29},{2008},{2008},C,C,Challenger,2008-01-07 00:00:00,2007-05-03,2007-05-03,2007-05-03,H8NY29057,2008
"STALZER, FRANK J",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{2008},{2008},C,C,Challenger,2008-07-24 00:00:00,2008-05-01,2008-05-27,2008-05-27,H8NY02062,2008
"KATZ, MELINDA R",H,House,DEM,DEMOCRATIC PARTY,NY,09,9,{09},{1998},"{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016}",P,C,Challenger,2002-04-12 13:13:26,1997-12-02,1997-12-02,1997-12-02,H8NY09117,1998
"MARKGRAF, ROSEMARIE",H,House,REP,REPUBLICAN PARTY,NY,12,12,"{12,12}","{1998,2000}","{1998,2000,2002}",P,C,Challenger,2002-04-12 00:00:00,1998-08-03,2000-09-13,2000-09-13,H8NY12079,2000
"TOCKER, PAUL H",H,House,REP,REPUBLICAN PARTY,NY,28,28,{28},{1978},"{1978,1980,1982,1984}",P,,,2002-03-30 00:00:00,1978-08-17,1978-08-17,1978-08-17,H8NY28034,1978
"POWERS, JONATHAN",H,House,DEM,DEMOCRATIC PARTY,NY,26,26,{26},{2008},"{2008,2010,2012,2014}",P,O,Open seat,2008-03-27 21:52:53,2007-06-05,2007-06-05,2007-06-05,H8NY26061,2008
"ALBERT, MYRNA",H,House,REP,REPUBLICAN PARTY,NY,17,17,{17},{1988},"{1988,1990}",N,C,Challenger,2002-03-30 00:00:00,,,,H8NY17060,1988
"HASIOTIS, GEORGE F",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{1988},{1988},C,O,Open seat,2005-05-26 00:00:00,1987-10-01,1987-10-01,1987-10-01,H8NY31020,1988
"WALDON, ALTON R JR",H,House,CRV,CONSERVATIVE PARTY,NY,06,6,{06},{1998},"{1998,2000,2002,2004,2006}",N,C,Challenger,2002-04-12 00:00:00,1997-09-11,1997-09-11,1997-09-11,H8NY06063,1998
"MADDEN, PATRICK",H,House,DEM,DEMOCRATIC PARTY,NY,22,22,{22},{2018},{2018},N,C,Challenger,2017-08-01 20:57:28,2017-05-15,2017-05-15,2017-05-15,H8NY22144,2018
"DECILLIS, ALFRED MICHAEL",H,House,DEM,DEMOCRATIC PARTY,NY,11,11,{11},{2018},{2018},C,C,Challenger,2017-10-24 21:01:05,2017-05-19,2017-05-19,2017-05-19,H8NY11097,2018
"CAPPUCCILLI, PETER JR",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2008},{2008},C,O,Open seat,2008-04-21 00:00:00,2008-02-25,2008-02-25,2008-02-25,H8NY25055,2008
"BECKER, GREGORY R",H,House,REP,REPUBLICAN PARTY,NY,04,4,"{04,04}","{1998,2000}","{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1998-04-07,2000-04-10,2000-04-10,H8NY04068,2000
"FEINER, PAUL J",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,"{20,20,20}","{1998,2000,2002}","{1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018}",P,C,Challenger,2013-01-08 22:19:59,1998-01-09,2001-05-29,2001-05-29,H8NY20080,2002
"SAX, MIKE",H,House,DEM,DEMOCRATIC PARTY,NY,02,2,{02},{2018},{2018},N,C,Challenger,2018-01-04 21:07:09,2017-12-30,2017-12-30,2017-12-30,H8NY02088,2018
"MARTINELLI, ANGELO R.",H,House,REP,REPUBLICAN PARTY,NY,23,23,{23},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-07-19,1978-07-24,1978-07-24,H8NY23035,1978
"LYNCH, HOLLY",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,{10},{2018},{2018},C,C,Challenger,2018-02-08 21:14:37,2017-10-16,2017-12-29,2017-12-29,H8NY10081,2018
"ROSSITER, CALEB S",H,House,DEM,DEMOCRATIC PARTY,NY,31,31,{31},{1998},"{1998,2000,2002,2004}",P,C,Challenger,2002-04-12 00:00:00,1998-02-04,1998-02-04,1998-02-04,H8NY31079,1998
"CATTERSON, JAMES M. JR.",H,House,REP,REPUBLICAN PARTY,NY,01,1,{01},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-06-27,1978-06-27,1978-06-27,H8NY01056,1978
"COMEGYS, CHRISTOPHER SCOTT",H,House,DEM,DEMOCRATIC PARTY,NY,24,24,{24},{2018},{2018},N,C,Challenger,2018-01-26 21:11:21,2018-01-11,2018-01-11,2018-01-11,H8NY24108,2018
"BURDEN, CARTER",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,{18},{1978},"{1978,1980,1982,1984}",P,C,Challenger,2002-03-30 00:00:00,1978-01-12,1980-01-31,1978-04-13,H8NY18068,1978
"HAWKINS, HOWIE",H,House,GRE,GREEN PARTY,NY,25,25,"{25,25,25}","{2000,2004,2008}","{2000,2004,2008,2010}",N,C,Challenger,2008-12-15 00:00:00,2008-11-19,2008-11-19,2008-11-19,H0NY25037,2008
"RAGONE, NICHOLAS",H,House,REP,REPUBLICAN PARTY,NY,18,18,{18},{1996},"{1996,1998}",P,C,Challenger,2002-04-03 00:00:00,1996-02-12,1996-02-12,1996-02-12,H6NY18120,1996
"BROOKS, MAGGIE",H,House,REP,REPUBLICAN PARTY,NY,25,25,{25},{2012},"{2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2012-03-21,2012-09-25,2012-09-25,H2NY25074,2012
"CAPANNA, PALOMA A",H,House,DEM,DEMOCRATIC PARTY,NY,25,25,{25},{2006},"{2006,2008}",P,C,Challenger,2009-04-29 00:00:00,2005-10-05,2005-10-05,2005-10-05,H6NY25117,2006
"RING, MICHAEL F",H,House,REP,REPUBLICAN PARTY,NY,21,21,{21},{2014},{2014},N,O,Open seat,2014-01-15 22:09:51,2013-12-20,2013-12-20,2013-12-20,H4NY21095,2014
"ROSEN, MARK L",H,House,REP,REPUBLICAN PARTY,NY,18,18,"{18,18}","{2010,2012}","{2010,2012}",C,C,Challenger,2011-10-20 00:51:35,2010-03-23,2011-07-13,2011-07-13,H0NY18164,2012
"BUTZKE, JEFFREY A",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{1986},"{1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1986-07-09,1986-07-09,1986-07-09,H6NY02082,1986
"KAPLAN, ANNA",H,House,DEM,DEMOCRATIC PARTY,NY,03,3,{03},{2016},{2016},C,O,Open seat,2016-04-21 21:06:43,2016-01-11,2016-01-11,2016-01-11,H6NY03205,2016
"VANDERHOEF, C SCOTT",H,House,REP,REPUBLICAN PARTY,NY,17,17,{17},{2002},"{2002,2004}",P,C,Challenger,2002-09-05 00:00:00,2002-07-11,2002-07-11,2002-07-11,H2NY17097,2002
"MAIO, DANNIEL",H,House,REP,REPUBLICAN PARTY,NY,06,6,"{14,06}","{2006,2016}","{2006,2008,2016}",N,C,Challenger,2016-06-06 21:00:43,2006-10-10,2006-10-10,2006-10-10,H6NY14236,2016
"HALLORAN, DANIEL JAMES III",H,House,REP,REPUBLICAN PARTY,NY,06,6,{06},{2012},"{2012,2014}",P,C,Challenger,2013-04-26 09:04:30,2012-06-05,2012-06-05,2012-06-05,H2NY06157,2012
"REDLICH, WARREN",H,House,REP,REPUBLICAN PARTY,NY,21,21,"{21,21,21}","{2002,2004,2008}","{2002,2004,2006,2008}",N,O,Open seat,2008-01-22 00:00:00,2002-02-01,2007-12-06,2007-12-06,H2NY21073,2008
"ROSENBERG, MIKHAIL OLIVER",H,House,DEM,DEMOCRATIC PARTY,NY,10,10,{10},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-03-02,2016-03-02,2016-03-02,H6NY10127,2016
"HOFFMAN, DOUGLAS L. MR.",H,House,REP,REPUBLICAN PARTY,NY,23,23,{23},{2010},"{2010,2012,2014,2016,2018}",P,C,Challenger,2011-02-24 10:53:11,2009-08-03,2009-12-28,2009-12-28,H0NY23107,2010
"OWENS, WILLIAM",H,House,DEM,DEMOCRATIC PARTY,NY,21,21,"{23,21,21}","{2010,2012,2014}","{2010,2012,2014,2016,2018}",P,C,Challenger,2015-04-02 15:52:44,2009-02-25,2013-05-06,2013-05-06,H0NY23081,2014
"CAPUTO, BRUCE F.",H,House,REP,REPUBLICAN PARTY,NY,23,23,"{23,23}","{1976,1978}","{1976,1978,1980}",P,C,Challenger,2002-03-30 00:00:00,1976-04-12,1979-04-10,1976-04-12,H6NY23021,1978
"MALTESE, SERPHIN R",H,House,REP,REPUBLICAN PARTY,NY,09,9,{09},{1984},"{1984,1986,1988,1990}",P,C,Challenger,2002-03-30 00:00:00,1984-09-10,1984-09-10,1984-09-10,H4NY09066,1984
"ZIEGLER, PATRICK",H,House,REP,REPUBLICAN PARTY,NY,20,20,{20},{2010},{2010},N,C,Challenger,2010-09-23 23:17:20,,,,H0NY20103,2010
"PRICE, JOSHUA CLINTON",H,House,REP,REPUBLICAN PARTY,NY,02,2,{02},{2006},{2006},C,C,Challenger,2009-04-29 00:00:00,2005-10-04,2005-11-02,2005-11-02,H6NY02116,2006
"KUNTZ, WILLIAM III",H,House,IND,INDEPENDENT,NY,24,24,{24},{1992},"{1992,1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1992-09-11,1992-09-11,1992-09-11,H2NY24077,1992
"SCHROEDER, JULIAN C",H,House,DEM,DEMOCRATIC PARTY,NY,17,17,"{17,17}","{1976,1986}","{1976,1986,1988}",P,C,Challenger,2002-03-30 00:00:00,1985-12-26,1985-12-26,1985-12-26,H6NY17023,1986
"KELLY, SUE W",H,House,REP,REPUBLICAN PARTY,NY,19,19,"{19,19,19,19,19,19,19}","{1994,1996,1998,2000,2002,2004,2006}","{1994,1996,1998,2000,2002,2004,2006,2008}",P,C,Challenger,2009-04-29 00:00:00,1994-05-31,2006-08-30,2006-08-30,H4NY19073,2006
"OLIVA JR, PHIL",H,House,REP,REPUBLICAN PARTY,NY,18,18,{18},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2016-01-04,2016-01-04,2016-01-04,H6NY18203,2016
"ESPAILLAT, ADRIANO",H,House,DEM,DEMOCRATIC PARTY,NY,13,13,"{13,13,13,13}","{2012,2014,2016,2018}","{2012,2014,2016,2018}",C,I,Incumbent,2017-04-06 20:58:23,2012-04-05,2017-04-06,2017-04-06,H2NY13096,2018
"OPPENHEIMER, SUZI",H,House,DEM,DEMOCRATIC PARTY,NY,18,18,{18},{2000},{2000},C,C,Challenger,2002-04-07 00:00:00,1999-05-21,1999-05-21,1999-05-21,H0NY18131,2000
"RODRIGUEZ, EDWARD N",H,House,REP,REPUBLICAN PARTY,NY,07,7,{07},{1986},"{1986,1988,1990,1992,1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1986-08-13,1986-08-13,1986-08-13,H6NY07099,1986
"GRIFFEN, WILLIAM L",H,House,GRE,GREEN PARTY,NY,25,25,"{25,25}","{1990,2000}","{1990,1992,2002}",N,C,Challenger,2002-08-02 00:00:00,1991-01-24,1991-01-24,1991-01-24,H0NY25029,2000
"WEIGANDT, JOHN T",H,House,REP,REPUBLICAN PARTY,NY,09,9,{09},{1982},"{1982,1984,1986,1988,1990,1992,1994}",P,C,Challenger,2002-03-30 00:00:00,,,,H2NY09060,1982
"BOMBARD, PAT R",H,House,REP,REPUBLICAN PARTY,NY,32,32,{32},{1980},"{1980,1982,1984,1986,1988,1990,1992}",P,C,Challenger,2002-03-30 00:00:00,1980-06-12,1980-06-12,1980-06-12,H0NY32025,1980
"HAMILTON, IAN",H,House,DEM,DEMOCRATIC PARTY,NY,06,6,{06},{2014},{2014},N,C,Challenger,2014-03-08 00:12:38,2014-02-14,2014-02-14,2014-02-14,H4NY06021,2014
"THRONE-HOLST, ANNA",H,House,DEM,DEMOCRATIC PARTY,NY,01,1,{01},{2016},"{2016,2018}",P,C,Challenger,2017-02-23 14:47:46,2015-05-22,2016-08-05,2016-08-05,H6NY01126,2016
"MCCARTHY, CORNELIUS P",H,House,DEM,DEMOCRATIC PARTY,NY,19,19,"{19,19}","{1992,1994}","{1992,1994,1996,1998,2000}",P,C,Challenger,2002-04-07 00:00:00,1992-02-21,1994-05-03,1994-05-03,H2NY21032,1994
"PELL, EDWIN ALBERT III",H,House,DEM,DEMOCRATIC PARTY,NY,20,20,{20},{2006},"{2006,2008}",N,C,Challenger,2009-04-29 00:00:00,2006-03-15,2006-04-03,2006-04-03,H6NY20175,2006
"LONG, WILLIAM A JR",H,House,DEM,DEMOCRATIC PARTY,NY,27,27,{27},{1994},"{1994,1996}",P,C,Challenger,2002-04-02 00:00:00,1994-08-29,1994-08-29,1994-08-29,H4NY27050,1994
"LUI, ALFRED S",H,House,IND,INDEPENDENT,NY,12,12,{12},{1992},{1992},C,C,Challenger,2002-03-30 00:00:00,1992-08-31,1992-09-03,1992-09-03,H2NY12098,1992
